"sys_loadingid","sys_cdc","sys_checksum","bestellungid","kundeid","vereinspartnerid","kaufdatum","kreditkarte","gueltigbis","kkfirma","produktid","menge","preis","rabatt"
1,I,0x767e173b0cd69905e2a0fdcfc05dbe87d4934c7a69585b7a154a29894ade239c,RS0000210,,GlückAuf,2022-03-05,,,,80,9,3.80,0.00
1,I,0x8c98f90073f5f4c180790b15960a11ab5c680a293e86c0db0fc9b68f21afe8c8,RS0000851,"211",GlückAuf,2022-03-05,"0000 2367 0512 0300",Feb 97,VISA,62,41,4.00,6.20
1,I,0x599a763f7484b6ff3bb21f91b8af7e5632f8e2a2770034eefa1c6ff32605f328,RS0000828,,GlückAuf,2022-03-05,"0000 8177 0651 4100",Okt 19,Mastercard,75,15,7.00,7.50
1,I,0x05ea4c1ee437ee6ab47eb2ddbf3776d8bd02053bac1d01a63c527bcb53ed027f,RS0000424,,GlückAuf,2022-03-05,,,,76,41,3.80,0.00
1,I,0x65e1c24c0f7b537ce01450f8eb811cce1e399cffb90b19b0ad8591e032e64638,RS0000351,,GlückAuf,2022-03-05,,,,75,23,6.80,0.00
1,I,0x524f4ca5cd99e06dc2a80e7cf7d6d27900d00d068e003ceb1dc97145ef034bb7,RS0000537,,GlückAuf,2022-03-05,"0000 3783 0944 5400",Feb 20,VISA,90,14,1.00,9.00
1,I,0x0d0b30cde29dcf8e753938fd360779e5afa5fe151d69bab90d0d84016e9a5014,RS0000111,,GlückAuf,2022-03-05,,,,29,6,1.30,0.00
1,I,0xade711267300631a8969ee8bdaa5d9026920d69808ea1326bc0bc086dabcb227,RS0000659,,GlückAuf,2022-03-05,"0000 6637 0800 4000",Jan 18,VISA,119,30,1.80,0.00
1,I,0x3491d09ea0a8fdfa2781a39e7f6f51e786f0ad831d88a372a43209b6830c5107,RS0000455,"40",GlückAuf,2022-03-05,"0000 4183 0505 0500",Aug 20,Mastercard,15,46,4.30,0.00
1,I,0xc4540592d903d01b898057708a3438a08affdc5791da8b1ef9251622317065b4,RS0000034,,GlückAuf,2022-03-05,,,,77,32,1.80,0.00
1,I,0x306c04cceb13e146a99366bcd7bb5cba85a2f64c2c4fe5c38fe95c8f3543df21,RS0000691,"42",GlückAuf,2022-03-05,"0000 4566 2614 1600",Jun 93,Mastercard,69,40,2.00,6.90
1,I,0x930981e7f2f1b78a1462549ceece8074a61910b46367d9e824deaec620aef0d0,RS0000479,,GlückAuf,2022-03-05,"0000 1674 0500 0000",Mai 18,VISA,42,39,2.20,0.00
1,I,0xbd0ccf4bc04b5c1aa1402f20544875f73a7766de8bb71bd857be2b5408fcc742,RS0000347,,GlückAuf,2022-03-05,,,,93,22,2.10,0.00
1,I,0x9c8205a1c3f24aefc507ccefabb87f21f64226b7baa5b301ecb6070e6eabc456,RS0000779,"300",GlückAuf,2022-03-05,"0000 3265 0922 0000",Sep 91,Mastercard,47,10,8.80,0.00
1,I,0x93b0001e8ff02af7059a5904ec9ea2281cca02f17bbce6c3b7c7ae0ce66dd652,RS0000353,,GlückAuf,2022-03-05,,,,9,14,2.80,0.00
1,I,0x352b3d678bb5e0265aa940190b7c2bcc086752f605e7a5fba7c7c63edeab399c,RS0000874,"274",GlückAuf,2022-03-05,"0000 9750 3305 0000",Nov 23,American Express,84,13,0.75,8.40
1,I,0x9a08be35f11813b3fbaa4a5b485046201d158601badb4776dcb6904ac894a7d7,RS0000679,"170",GlückAuf,2022-03-05,"0000 4966 5500 7000",Feb 16,VISA,111,20,8.00,11.10
1,I,0x8abd33d645f3cc322e95b5b9fc8bc54cfb05e802bbcd96f1e09ddd37206b94ec,RS0000053,,GlückAuf,2022-03-05,,,,25,37,6.80,0.00
1,I,0x6dd76c8c24ebb7cfca438b91716f0b67fc9bf2b4b7510f7486c988dba88c7904,RS0000701,,GlückAuf,2022-03-05,"0000 8476 0694 4100",Nov 23,VISA,111,15,8.00,11.10
1,I,0x9458caa676ed4d8989150335b2f65d15c16e0323552d667dbf881277e70e04ab,RS0000001,,GlückAuf,2022-03-05,,,,44,14,3.80,0.00
