"sys_loadingid","sys_cdc","sys_checksum","kundeid","vereinspartnerid","vorname","name","geschlecht","geburtsdatum","telefon","mobil","email","kreditkarte","gueltigbis","kkfirma"
1,I,0x3a402a0da410343a2c46255b83b620df3cc88ff84429c2bd37d023c007aff79f,"181",VolleRose,Amy,Landeck,w,1909-11-06,"02663/56384371",,amy_landeck@justmail.none,"0000 5453 2612 0200","01/00",VISA
1,I,0xf7dd2c0b52ac63befcd4676440874635b1f0bd96aedd295941ba9469a3117c96,"131",,Hannelie,Dopfer,,1996-10-23,,"0156/7415251",h-dopfer@ultramail.none,"0000 9650 7500 9400","04/16",VISA
1,I,0x0c3758f3e608bbd71115fe35179fb3a86091278cafa96282498829e5a7065fb4,"243",,Dora,Schwark,w,1955-06-21,"04845/74034879","0172/7480425",dora-1955@mymail.none,"0000 7660 0699 2600","05/16",VISA
1,I,0xafe76bb178cd2cc551bd9c3fbd311a807f4fc0066e52f37ad8895169e490aab2,"135",Ruhrmorig,Holk,Wilms,d,1958-01-14,"07243/1270334","0174/7421839",holk-wilms@company.none,"0000 7929 2657 4700","01/17",VISA
1,I,0x0b7fc063bb8d0b03e15ae1a141b3f7ca3b1b42997c8600719da4b0038741962c,"94",GlückAuf,Babette,Rößner,w,1921-06-17,,"0153/1866257",babetteroessner@domain.none,"0000 0357 4700 4700","12/20",American Express
1,I,0x809f216cea14c002450ed7949d473d8d33cbb0ed57e48818c2ffa2a671c77327,"294",WochenendGLück,Renate,Zentner,w,1971-03-07,"07152/71347125","0172/1148249",rzentner@hoster.none,"0000 9732 0613 8400","01/21",VISA
1,I,0xcae32d5080c7a16fab4e8aff0d7d365a01b06b029eba983ce9efa320fba14945,"25",VolleRose,Rochus,Pfister,,1969-12-19,"09965/44889098","0169/2055638",rochus.pfister@xyz.none,"0000 5476 0694 6800","03/21",VISA
1,I,0x8942deefe5fc0898d94399a39fddca6e458e629180df0fcb34ece55c3f0a866f,"204",,Myriam,Höfer,w,1920-09-11,"030/18118928","0152/3599532",myriamhoefer@spam-mail.none,"0000 5645 8410 3100","11/00",American Express
1,I,0x3f2617c8027373d45a8bd4f0552a63ae60843cb2fc6ad4b4c980b02f637eefcd,"82",,Nik,Lindemann,m,1977-09-01,,,niklindemann@open-mail.none,"0000 2668 3500 4800","09/97",Mastercard
1,I,0x5dc396b313480008263e8a40c293d3a84dda4e0d1b4eaeaf0d4c74c80587b6b2,"157",,Anneke,Obermann,w,1939-07-28,"08122/52800493","0160/7837252",anneke_obermann@funmail.none,"0000 1973 4514 5000","03/19",VISA
1,I,0xf5d547cfa0499de22739fed8102ba2aeeb2861da1c81b899deb1caf5e32f0a97,"68",GlückAuf,Ambros,Hanemann,m,1988-08-25,"05875/61951269","0168/2390726",ambroshanemann@spam-mail.none,"0000 9333 0600 9800","11/12",American Express
1,I,0x7db0be90fa1ccf2ade461e482b637d08d3832ec0901c2fbc62f875428520473d,"43",,Helena,Pauli,w,1971-11-18,"08392/37548890","0153/6302491",helena-pauli@net-mail.none,"0000 8351 0500 1500","05/20",VISA
1,I,0x17cdf4b77e3f9639ab0ef50688e6563906e5d80249ff8bcbf5baaa22d6a8ea76,"32",Blaetterglueck,Celia,Strittmatter,w,2020-12-07,,"0166/6077249",c.strittmatter@anymail.none,"0000 4170 0543 0600","05/99",VISA
1,I,0x4b1f0538469f62e288af8fd2437322dcfe811f55648fe8d32240d3122175a75d,"70",Ruhrmorig,Jörn,Göpfert,m,1923-12-08,"02691/2774377","0150/5469457",joern.goepfert@justmail.none,"0000 8272 0691 1900","09/19",Mastercard
1,I,0xd41210feba50373acedd5bbdcf54e9cbe6f05cce3a10865def0dd40cac4e4272,"104",,Sigfried,Veith,m,1955-06-22,,,sigfried_veith@quickmail.none,"0000 1570 0518 0500","10/90",Mastercard
1,I,0x99e77a4d53d385ba22340936f4eec1dbed565881574b8904adff0db97d240bc2,"87",,Hansgerd,Lautner,m,1946-01-27,"03973/38898490","0166/7147530",h.lautner@web.none,"0000 7653 3500 0000","07/18",Mastercard
1,I,0xbe029eb73d84cb83c0d3f177a7da282a76e64e642b7d1ba0be1695ead2a75bf7,"10",Druff1848,Elgine,Röhrle,w,1910-03-22,,,elgineroehrle@quickmail.none,"0000 8487 0962 1400","08/17",Mastercard
1,I,0xc6d7f4b1d23a0d1467315fc4695ef2e50e87b51823637d5b7635003a49473113,"258",,Delf,Klinke,m,1957-05-08,"08282/45929127","0166/8766411",d_klinke@net-mail.none,"0000 0960 0697 1000","02/10",VISA
1,I,0x03b53542163c2575b08303b0b6a8e475caa70f0e55db1c6f51c101610ac9b6cf,"186",,Sascha,Weyer,d,1930-12-08,"03907/91547360","0179/8940136",s.30@xyz.none,"0000 8757 6622 6300","04/94",VISA
1,I,0x3b628b35642209c25e9a276550387f0f21a196074359e6b1f679d08d180fb84e,"7",,Bettina,Pilgrim,w,1967-01-25,"04533/19946621","0163/9688384",bettina-pilgrim@anymail.none,"0000 0225 6916 3300","06/13",Mastercard
1,I,0x9eb08d93936a0f469944bb805bccd070be5cf3253158726b64acd918ef2b1a60,"160",,Doraline,Fehling,w,1976-02-24,"04283/90175873",,d.fehling@anymail.none,"0000 8078 0608 9600","12/15",American Express
1,I,0xff10bbdfffc562f43d9c725d06bd18e3409f2f4339c8093842030626da6390e4,"140",Druff1848,Merten,Bernhardt,,1986-08-14,,,merten.bernhardt@goggle-mail.none,"0000 4832 0603 6200","06/83",Mastercard
1,I,0xac4896b2699cc84d40cc2f2802fdd357f622c37399703b82d7c541948af3bd2e,"224",GlückAuf,Simone,Lill,w,1935-06-01,"03606/1082569","0177/4307786",simone.lill@quickmail.none,"0000 0220 0100 2000","09/10",Mastercard
1,I,0xa1e0779a6ae1c25268119d91abd42ce46c5bbe77bc435587f4fae448577a2552,"188",Blaetterglueck,Irlanda,Sirch,w,1969-12-23,"06764/99222348",,i_sirch@net-mail.none,"0000 6550 0617 4100","11/06",American Express
1,I,0x898086ca2410f2d7d8744082846740efa7148deefb479e6ccfa76540fa8530ff,"208",,Hanno,Händler,m,1986-12-08,"0681/86607563","0171/4251691",hanno-haendler@quickmail.none,"0000 2813 0700 0000","11/13",American Express
1,I,0x3955633a8059413324a7ad198bcee3544acb53623c8a2f5b89de759f3bc4e7e5,"126",,Gottwald,Lichtenberger,m,1936-07-05,"06563/44424869","0160/5202612",glichtenberger@inter-mail.none,"0000 1776 0694 6800","08/19",Mastercard
1,I,0x031bc9c284be2c5c50cbffc674d443b39992a47f66f83a2c09a4f3314898d0f7,"144",,Helwig,Stone,m,1968-05-07,"07451/52326173","0170/2740914",h_stone@email.none,"0000 7320 7500 0000","06/20",Mastercard
1,I,0x05718bb6a5f91856e59ddac09a2cda4e9d1aed466429713fb5ee7c99608fba91,"37",,Ottilie,Kratz,w,2017-11-08,,"0162/4702019",ottilie-kratz@net-mail.none,"0000 8556 0900 0000","12/93",American Express
1,I,0xaf25a232c3351e060ff1b623690b6518fa0ecd8def0265c448820df0551b298b,"6",Blaetterglueck,Leoni,Peuker,w,1976-11-05,"06542/8898003","0158/7935398",leoni_peuker@justmail.none,"0000 7985 0501 0000","12/05",American Express
1,I,0x10467e3d18f4ceb2239071615fd8752e2a30ed0cc407bb4c65a5d445410855f8,"278",Ruhrmorig,Willmar,Goeke,,1999-01-30,"030/21998343","0159/4854445",willmar.goeke@anymail.none,"0000 4075 0500 0000","09/00",Mastercard
1,I,0x472c0c52f684eec2819ec589231f89031fceb55037de7181e04e72254ed3d34a,"127",Druff1848,Sighilde,Allmendinger,w,1970-11-18,"04834/82684812","0159/4743966",sighilde-allmendinger@ultramail.none,"0000 1874 1641 4900","11/20",American Express
1,I,0x42a9b0ccd0734c0c0ee0218d5d521558869a84e625c36ddb3e09ae11bdf609b4,"56",,Ilselore,Max,w,1934-01-23,"05162/73083498",,ilseloremax@web.none,"0000 4326 5626 9400","11/14",American Express
