"sys_loadingid","sys_cdc","sys_checksum","lieferadrid","kundeid","strasse","hausnummer","adresszusatz","plz","ort","land"
1,I,0x2487430b0132c9ec8657efb835da15aceff68d488ea94427c731a70b02ef0370,251,"28",Alte Dorfstraße,"17",,"56357",Reichenberg,
1,I,0xfa3930e9b6b8f16cbcd83418cdea3c897048b74c380d4ef8fc238ca8bd6fa826,106,"137",Leienstraße,"155",,"94513",Schönberg,
1,I,0x3f49ee245aae498ff07c60f91572ea8f542027353361eea0b250390b8506ac3d,681,"89",Fischerweg,"5",,"80333",München,
1,I,0x182d107b1f049bcb3bedf7615674c6384254ea7d5ed4121987313e79f09bbfbb,285,"34",St.-Barbara-Straße,"23",,"24576",Mönkloh,
1,I,0x1ec96a817d2b25d707199ad6359f70e310448c29dd35ea04d0596cb973690ff5,120,"1",Waldorfer Straße,"48",,"72356",Dautmergen,
1,I,0x0f77e5836f6c24f82d7de9e49ad985925fa908dde38becba33e4ca88686af0ec,264,"95",Wirthstraße,"7",,"56841",Traben-Trarbach,
1,I,0x4cc951524d4026d16c60f23e2dea9b95406912b6ac512504e438d486a0f8704f,664,"131",Bodener Weg,"113",,"29379",Wittingen,
1,I,0x142705737b1c2c837affc5f19f3ac9a723b6c57871c660d0857e043e89b5794f,601,"11",Diedenberg,"60",,"29525",Uelzen,
1,I,0x0bd28ee92073222db7fbe47ae06c3ff0a9afef81c8085f2728b6631553d7c23b,647,"168",Petersstraße,"185",,"25788",Delve,
1,I,0x37fcf1dc7b24338d924c39a475a8aba305cf8361384763218a73cb82bbaad79f,497,"55",Bröhlstraße,"187",,"33649",Bielefeld,
1,I,0x96b1b68ad823f884d787b6389cf55f9ac9c9d9e355292ccdb96e7dfd27e6c5ed,452,"207",Haddorf,"187",,"89350",Dürrlauingen,
1,I,0x73145b19a228ecec8e910c77393d3a6c0aaa0cce23a73fcda4c7a91fcb817bff,496,"55",Kastorbachstraße,"138",,"44359",Dortmund,
1,I,0x71297ff11c31bc6ab1edddec5543230c3accf72aadbcf863850f72f38d9481f9,455,"104",Eschenweg,"94",,"66871",Körborn,
1,I,0x49d2a59e2f0fb85bdd75f8037a5f4ca0e2ad1cb099e50e8611f1aa759257d3c7,630,"116",Im Wiesengrund,"165",,"56242",Quirnbach,
1,I,0xd89c9f94ef220413df844a43d315321811bfe3077a5a291b42102676da3aca02,209,"293",An den Quellen,"12",,"72076",Tübingen,
1,I,0x04ace4e7867cdec98227a7df0ff6ff71e62110f6b8b77e666f1d213627cf1760,665,"18",Professor-von-Capitaine-Straße,"101",,"67744",Cronenberg,
1,I,0xcf7a1d97a6b2d786e4024f509b58cd5e8344c691cc46a76fd0487dd5fc4a724c,276,"30",Vulkanweg,"200",,"54584",Jünkerath,
1,I,0xb4d0f7eba71a495b9fc797824d94da11417ed524eb977df5bcdf6cd271a47721,606,"54",Wackenbrucher Straße,"148",,"21493",Havekost,
1,I,0x10a8c5b6f7b78178b9742d6dbcc9b37b5c922bbbd5a4634d59ca08d4fb04e959,577,"24",Peter-Schemmer-Straße,"155",,"40721",Hilden,
1,I,0x26e80f75fd89d730903587002c856c956ce051de6be3d4f270878fbe185d0519,599,"9",Hohlstraße,"184",,"24568",Winsen,
1,I,0xa3bd54cb1aaa6af2726ab603eef9cace49bf220af54a118d9eaa899792018439,550,"279",Vallstedter Weg,"94",,"34454",Landau,
1,I,0x3592210b114e3fc8c970f8fcbb2f87897690f20321bf31c6059569248e8bb176,756,"214",Am Neray,"65",,"21717",Fredenbeck,
1,I,0x869b3eb1619b47e28d95df32a828b21ea8d24433417d3c000a1b7541019767a2,151,"242",Im Maerenthal,"55",,"73565",Mooswiese,
1,I,0xba069ac8b2c363c99dc6440244cf9a51b5b56a98315603210d0afef014115b47,384,"37",Kreuztaler Straße,"159",,"34466",Wolfhagen,
