"sys_loadingid","sys_cdc","sys_checksum","kundeid","von","bis","strasse","hausnummer","adresszusatz","plz","ort","land"
1,I,0xbdd4030963f765e1b7eed7fed3fd79ef0ed8172ead7c2d6a75db019a3b84d0f7,"218",1984-08-03,1985-04-20,Markusstraße,"146",,"65795",Hattersheim am Main,
1,I,0x3bc363c7df18ea4b3cdc59be066f8ba0f0627e0aefa7bfa474cd81907f93ffe7,"85",2019-07-15,2020-09-14,Ahrblick,"16 b",,"71711",Steinheim an der Murr,
1,I,0xa7fee7559f66e36bfdf203431c1cfed3b7b98c9a8ebae198fe4586e64cc5ceab,"180",2018-11-13,2019-06-23,Auf der Huth,"82",,"40883",Ratingen,
1,I,0xa0b1c641825bd0abd4cc8e4edd6e265ca8bfddfae4d0bf8859f0ecf802e433b0,"56",1983-09-10,1997-06-15,Weiherdamm,"94",,"86508",Rehling,
1,I,0x3c01beaab2605dcbc7df096d8fad3365b27f7e9b247c96295a64bc62116cdf7e,"246",2008-06-09,2013-04-16,Auf dem Hollen,"160",,"63863",Eschau,
1,I,0x928e2d9bdb22409301652e7e0bb626f52376cab07d955658564d15ff5737b544,"270",2020-01-29,,Handwerkerstraße,"23",,"86476",Neuburg an der Kammel,
1,I,0x9a4d0547edb650aa008ce3f3f635ad99b9685de23049e730f5577761f42d97c6,"196",1978-02-10,1978-10-06,Bauvereinstraße,"178",,"41063",Mönchengladbach,
1,I,0xda0a1bd59e857caa06cb4c3c845ad77673045c71db53476a099f775eed9219f7,"50",2000-03-08,2010-08-18,Rothenberger Straße,"40",,"66903",Dittweiler,
1,I,0x85aa528b1584fe63127a5a6bce01fac2406f75a70f97a593d5b83bade5200c33,"233",2013-12-29,2014-09-30,Plaidterwegsrest,"41",,"25917",Achtrup,
1,I,0xd15760b1a6c5d4a1628bc762a760401ca0ff5e22ec66713266f5c6ee7135d863,"231",2006-02-15,2006-11-15,Sachsenstraße,"193",,"36217",Ronshausen,
1,I,0xa7365df9bd2bc2c652ee79df0d517b5b841d6e4781907df446618fb5651cd0ba,"175",1987-06-29,1994-12-25,In der Borngasse,"68",,"12685",Marzahn,
1,I,0x19b386cfff1d81786bc2ce22e148c08b1b33e7b8a7259a229f6632f83185256c,"75",2004-03-09,2019-09-01,Schwabacher Straße,"139",,"63801",Kleinostheim,
1,I,0x65f16d7492e0526249ee54a1802f3e5f344e81b21e39e0e371d38509d6229478,"54",2016-06-10,,Kaarster Straße,"169",,"49356",Diepholz,
1,I,0xbe78da6294e1d78010215d99717917c6346cd48df77a53701cbc1534ca7dbbd1,"115",2018-02-10,,Am Berg,"128",,"56340",Dachsenhausen,
1,I,0x30c5ff77c253afb3b34b5b00d4c1fa7c98b98e7c9aeda8a4590f982c30cb86c5,"55",1996-03-26,,Auf der Füll,"121",,"71577",Großerlach,
